--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
041.906  000.075  000.075: require('lspconfig.configs.svelte')
042.191  000.066  000.066: require('lspconfig.configs.prismals')
042.525  000.090  000.090: require('lspconfig.configs.emmet_ls')
042.949  000.067  000.067: require('lspconfig.configs.graphql')
043.271  000.066  000.066: require('lspconfig.configs.bashls')
043.599  000.090  000.090: require('lspconfig.configs.cssls')
043.880  000.074  000.074: require('lspconfig.configs.yamlls')
044.068  025.421  006.966: require('lspconfig.util')
044.123  000.052  000.052: require('mason-lspconfig.server_config_extensions')
044.234  000.110  000.110: require('lspconfig.configs.omnisharp')
044.743  000.060  000.060: require('mason-core.functional.number')
044.765  000.173  000.113: require('mason-lspconfig.api.command')
044.816  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
044.913  000.016  000.016: sourcing /home/frerebo/.local/share/nvim/lazy/sxhkd-vim/ftdetect/sxhkd.vim
044.917  000.052  000.036: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
044.922  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
045.454  000.217  000.217: sourcing /home/frerebo/.local/share/nvim/lazy/neovim-gui-shim/plugin/nvim_gui_shim.vim
045.459  000.252  000.034: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
045.466  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
045.490  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
045.746  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
045.761  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
046.298  000.111  000.111: require('lualine_require')
046.762  000.947  000.837: require('lualine')
046.975  000.010  000.010: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.025  000.007  000.007: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.038  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.049  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.058  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.065  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.074  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.083  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.202  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.215  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.260  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.268  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.280  000.009  000.009: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
048.975  000.067  000.067: require('lualine.utils.mode')
049.307  000.007  000.007: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.317  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.536  000.006  000.006: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.555  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.568  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.576  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.594  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.601  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.611  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.621  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.631  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.637  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.673  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.701  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.721  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.739  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.772  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.780  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.790  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.800  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.810  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.844  000.003  000.003: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
049.852  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.002  000.007  000.007: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.010  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.016  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.022  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.675  000.006  000.006: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.697  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.709  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.720  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.742  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.758  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.769  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.789  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.805  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.817  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.828  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.844  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
050.860  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
